,Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Document Type,Publication Stage,Open Access,Source,EID
109,"Valentín Moreno, Gonzalo Génova, Manuela Alejandres, Anabel Fraga",36901636100;55885990400;57190222816;17345500400;,Automatic classification of web images as UML static diagrams using machine learning techniques,2020.0,Applied Sciences (Switzerland),10,7,2406,,,,1.0,10.3390/app10072406,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083564103&doi=10.3390%2fapp10072406&partnerID=40&md5=866dfdf4b92633bce1558997c1156e86,"Our purpose in this research is to develop a method to automatically and efficiently classify web images as Unified Modeling Language (UML) static diagrams, and to produce a computer tool that implements this function. The tool receives a bitmap file (in different formats) as an input and communicates whether the image corresponds to a diagram. For pragmatic reasons, we restricted ourselves to the simplest kinds of diagrams that are more useful for automated software reuse: computer-edited 2D representations of static diagrams. The tool does not require that the images are explicitly or implicitly tagged as UML diagrams. The tool extracts graphical characteristics from each image (such as grayscale histogram, color histogram and elementary geometric forms) and uses a combination of rules to classify it. The rules are obtained with machine learning techniques (rule induction) from a sample of 19,000 web images manually classified by experts. In this work, we do not consider the textual contents of the images. Our tool reaches nearly 95% of agreement with manually classified instances, improving the effectiveness of related research works. Moreover, using a training dataset 15 times bigger, the time required to process each image and extract its graphical features (0.680 s) is seven times lower. © 2020 by the authors.",Classification tool; Image classification; Image processing; Rule induction; UML diagram recognition,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85083564103
110,"Adriano Del Pino Lino, Alvaro Rocha",57188558160;36103430000;,Automatic evaluation of ERD in e-learning environments,2018.0,"Iberian Conference on Information Systems and Technologies, CISTI",2018-June,,,1,5,,2.0,10.23919/CISTI.2018.8399401,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049922407&doi=10.23919%2fCISTI.2018.8399401&partnerID=40&md5=04068feabc43ef74a278d1c626886898,"Entity Relationship Diagram (ERD) are largely in computer science degrees, related to database discipline. They are an important part of many evaluations. Currently, computer aided assessments are widely used for multiple choice questions, however, they do not have the ability to evaluate a student's knowledge more comprehensively, going beyond right or wrong, which is necessary for the job with the diagram. This research project presents an innovative approach for automatic evaluation of ERD. This approach proposes a solution to the challenge of encouraging students to perfect their solution: seeking, in addition to a response that returns the correct result, a note that approaches the ideal solution. This approach has the following advantages: (1) the student receives instant feedback during the practical diagramming activity, which allows the student to redo his solution for an optimal solution; (2) complete integration of ERD teaching concepts with examples of online diagrams; (3) monitoring the student's activities, i.e. how many examples were executed in each exercise, how many attempts were made. This research is a first step in building a fully assisted environment, for example, with automatic evaluation for ERD teaching, where the professor is freed from the arduous work of correcting diagrams and can perform more relevant pedagogical tasks. The method, based on machine learning techniques, uses structured query language (SQL) metrics extracted from the ERD and experts grade to create the prediction model. The solution can be adapted to other types of diagrams, such as the Unified Modeling Language (UML). © 2018 AISTI.",Automatic evaluation; Entity relationship diagram; Machine learning; Metrics; Structured query language,Conference Paper,Final,,Scopus,2-s2.0-85049922407
111,"Yoo-Min Choi, Dong-Jin Lim",57196037603;7401816155;,Automatic feasible transition path generation from UML state chart diagrams using grouping genetic algorithms,2018.0,Information and Software Technology,94,,,38,58,,6.0,10.1016/j.infsof.2017.09.013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031107154&doi=10.1016%2fj.infsof.2017.09.013&partnerID=40&md5=2743e6c0f2b4de6c1f61e38b04ac82e5,"Context Transition coverage testing, a testing technique using state charts of Unified Modeling Language (UML), requires generation of transition paths that cover all transitions. However, if a generated path is infeasible due to internal variables then the transition will not be executed according to the input sequence, resulting in a test failure. Thus, feasible transition paths (FTPs) must be generated to run transition coverage tests. Objective Several automatic transition path generation studies have been conducted using genetic algorithms (GAs), but when generating a transition path using a GA, the dependent transition pairs serve as distractions. Furthermore, counter problems that require repeated execution of dependent transitions (for example, to test a failing operation of an automatic teller machine, the password must be incorrect three times) make FTP generation more difficult. Method In this study, to address these issues, an automatic FTP generation method using a grouping GA (GGA) is described. Considering the characteristics of the problem, modification of the original GGA is proposed. A chromosome initialized using information from the state chart, and generating transition coverage, satisfied FTP while adjusting the length of the chromosome. Results An experiment using the ‘inres initiator’ state chart and the ‘ATM’ state chart generated FTPs successfully. In the case of the inres initiator state chart, the proposed GGA was shown to be capable of generating FTPs with a 100% success rate. In the case of the ATM state chart, the proposed GGA was shown to be capable of generating FTPs with a 100% success rate, by setting the maximum number of generations. Conclusion The proposed GGA can be applied effectively to transition coverage testing using UML state charts, and can generate test paths suitable for testing purposes by setting the genetic parameter value and the maximum number of generations. © 2017 Elsevier B.V.",Automatic test case generation; Feasible transition path; Model-driven testing; Search-based algorithm; UML state chart,Article,Final,,Scopus,2-s2.0-85031107154
112,Benedikt Reitemeyer,57209985710;,Automatic Generation of Conceptual Enterprise Models,2020.0,"Proceedings - IEEE International Enterprise Distributed Object Computing Workshop, EDOCW",2020-October,,9233131,74,79,,1.0,10.1109/EDOCW49879.2020.00022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096091107&doi=10.1109%2fEDOCW49879.2020.00022&partnerID=40&md5=c78325b5a82aaca87cc56688637b028f,"The world organizations operate in is becoming increasingly complex and uncertain, due to technical disruptions, changes in operational environments and social structures, global markets, or, as recently seen, through global diseases. Those changes require the development of smart technological and human systems, based on Conceptual Enterprise Models. Through the increasing complexity, modeling is difficult for human actors and therefore requiring machine-support, for example through Artificial Intelligence approaches, leading to Hybrid Intelligence systems and automated generation of Conceptual Models. While various approaches for the automated generation of Conceptual Enterprise Models exist, for example in requirements engineering, process mining or in the context of Digital Twins, the approaches mostly support only parts of the modeling process. Additionaly, the approaches lack a common base, such as standardized frameworks. Therefore, my further research aims at showing how conceptual modeling can be automated, developing a modeling standard for Digital Twins in enterprise context, showing its technical feasibility and evaluating the implementation in real-world use cases. The research is performed through design science research, systematic literature research, argumentative-deductive reasoning, prototyping and use cases. At this stage, a first literature review is completed, and the next research steps are in preparation. © 2020 IEEE.",Digital Twins; Enterprise Architecture; Enterprise Modeling,Conference Paper,Final,,Scopus,2-s2.0-85096091107
113," Prasanna,  Chandran",57219969670;8341522200;,Automatic test case generation for UML object diagrams using genetic algorithm,2009.0,International Journal of Advances in Soft Computing and its Applications,1,1,,19,32,,24.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952927990&partnerID=40&md5=1c511c42f08a467f834128574542557e,"A new model based approach for automated generation of test cases in object oriented systems has been presented. The test cases are derived by analyzing the dynamic behavior of the objects due to internal and external stimuli. The scope of the paper has been limited to the object diagrams taken from the Unified Modeling Language model of the system. Genetic Algorithm's tree crossover has been proposed to bring out all possible test cases of a given object diagram. Illustrative case study has been presented to establish the effectiveness of our methodology coupled with mutation analysis. © ICSRS Publication, 2009.",Depth first search; Object diagram; Software testing; Test case; UML,Article,Final,,Scopus,2-s2.0-79952927990
114,"Heather J. Goldsby, Betty H. C. Cheng",15044261900;7202388859;,Automatically generating behavioral models of adaptive systems to address uncertainty,2008.0,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),5301 LNCS,,,568,583,,38.0,10.1007/978-3-540-87875-9_40,https://www.scopus.com/inward/record.uri?eid=2-s2.0-56649089469&doi=10.1007%2f978-3-540-87875-9_40&partnerID=40&md5=3badf79886929f9e1f4e3d43045129b7,"Increasingly, high-assurance applications rely on dynamically adaptive systems (DASs) to respond to environmental changes, while satisfying functional requirements and non-functional preferences. Examples include critical infrastructure protection and transportation systems. A DAS comprises a collection of (non-adaptive) target systems (represented as UML models) and a set of adaptations that realize transitions among target systems. Two sources of uncertainty inherent to DASs are: (1) predicting the future execution environment, and (2) using functional and non-functional trade-offs to respond to the changing environment. To address this uncertainty, we are inspired by living organisms that are astonishingly adept at adapting to changing environmental conditions using evolution. In this paper, we describe a digital evolution-based approach to generating models that represent possible target systems suitable for different environmental conditions, enabling the developer to identify the functional and non-functional trade-offs between the models, and then assisting the developer in selecting target systems for the DAS. © 2008 Springer-Verlag Berlin Heidelberg.",,Conference Paper,Final,"All Open Access, Green",Scopus,2-s2.0-56649089469
115,"Anna Perini, Angelo Susi",7003847681;9038664800;,Automating model transformations in agent-oriented modelling,2006.0,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),3950 LNCS,,,167,178,,25.0,10.1007/11752660_13,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745853191&doi=10.1007%2f11752660_13&partnerID=40&md5=2e66744df33f1b15f4bd61326ec8f930,"Current Agent-Oriented Software Engineering (AOSE) methodologies adopt a model-based approach for analysis and design, but, in order to become of practical use, they should include it in a clear and customizable software development process and provide CASE tools that support it. In this regards, the Model-Driven Architecture (MDA) initiative of OMG is providing useful concepts and techniques. The MDA ultimate objective is that of improving quality and software maintainability by allowing for the reuse of models and mappings between models. It offers standards and techniques for model interoperability and for automating model transformations. Our goal in this paper is to address the role of model transformations in AOSE by discussing a practical example, with reference to the Tropos methodology. In particular, we will focus on the automatic transformation of a Tropos plan decomposition into a UML 2.0 activity diagram. We will show how to use the transformation technique to automate model mappings and describe how a CASE tool, based on a modular architecture, has been extended to automate models transformations. © Springer-Verlag Berlin Heidelberg 2006.",,Conference Paper,Final,,Scopus,2-s2.0-33745853191
116,"Kyoung Soon Hwang, Ki Sun Park, Sang Hyun Lee, Kwang Il Kim, Keon Myung Lee",57202083402;57204718048;57204733672;57201110885;56996411200;,Autonomous machine learning modeling using a task ontology,2018.0,"Proceedings - 2018 Joint 10th International Conference on Soft Computing and Intelligent Systems and 19th International Symposium on Advanced Intelligent Systems, SCIS-ISIS 2018",,,8716066,244,248,,4.0,10.1109/SCIS-ISIS.2018.00051,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067129593&doi=10.1109%2fSCIS-ISIS.2018.00051&partnerID=40&md5=a872d9b38b916deacdd268f1f588432e,"Recently, many researchers are intensely engaged in investigation on the artificial intelligence technology that recognizes, learns, inferences, and acts on external information in a wide range of fields by combining technologies of computing, big data and machine learning algorithms. The artificial intelligence technology is currently used in almost all industries, and many machine learning experts are working on integrating and standardizing various machine learning tools so that non-experts can easily apply them to their domain. The researchers are also studying an autonomous machine learning as well as ontology construction for standardizing the machine learning concepts. In this paper, we classify typical problem solving steps for autonomous machine learning as tasks, and present a problem solving process. We propose the modeling method of an autonomous machine learning using a processes of the task execution on machine learning such as workflow. The proposed task ontology-based machine learning model defines a task-based process grouping scheme of UML activities. And it will automatically generate and extend the machine learning models by transformation rules based on common elements and structures (relationships and processes between elements). © 2018 IEEE.",Autonomous Machine Learning; Deep Learning; Machine Learning; Machine Learning Ontology; Task Ontology,Conference Paper,Final,,Scopus,2-s2.0-85067129593
117,"Jorge Pinna Puissant, Ragnhild Van Der Straeten, Tom Mens",40462219700;22434384700;6701719612;,Badger: A regression planner to resolve design model inconsistencies,2012.0,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),7349 LNCS,,,146,161,,9.0,10.1007/978-3-642-31491-9_13,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864055583&doi=10.1007%2f978-3-642-31491-9_13&partnerID=40&md5=1035e22c5b864e5c94e009d50f0cacae,One of the main challenges in model-driven software engineering is to deal with design model inconsistencies. Automated techniques to detect and resolve these inconsistencies are essential. We propose to use the artificial intelligence technique of automated planning for the purpose of resolving software model inconsistencies. We implemented a regression planner in Prolog and validated it on the resolution of different types of structural inconsistencies for generated models of varying sizes. We discuss the scalability results of the approach obtained through several stress-tests and discuss the limitations of our approach. © 2012 Springer-Verlag.,automated planning; inconsistency resolution; model; scalability,Conference Paper,Final,,Scopus,2-s2.0-84864055583
118,"Loris Penserini, Virginia Dignum, Athanasios Staikopoulos, Huib Aldewereld, Frank Dignum",6507883388;6603389724;13408270800;8658897900;7003423512;,Balancing organizational regulation and agent autonomy: An MDE-based approach,2009.0,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),5881 LNAI,,,197,212,,5.0,10.1007/978-3-642-10203-5_17,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78049250706&doi=10.1007%2f978-3-642-10203-5_17&partnerID=40&md5=7f7110dd01b071d3de8e1338399174f2,"The deployment of agent societies - as complex systems - in dynamic and unpredictable settings brings forth critical issues concerning their design. Organizational models have been advocated to specify open systems in dynamic environments in order to accomplish the need to represent regulating structures explicitly and independently from acting components (or agents). Despite the fact that several frameworks have been proposed for the specification of organizational models, it is still a matter of design choice how to balance between regulative design and component flexibility. We propose a design framework, discussing the advantages of having different degrees of abstraction at organizational level in the development of agent societies. That is, we illustrate how the design properties impact the flexibility of run-time systems to cope with context changes. We adopt the OperA software engineering methodology to deal with the organizational model specification, and the Model Driven Engineering (MDE) mechanisms to map concepts between different design models. © Springer-Verlag 2009.",,Conference Paper,Final,"All Open Access, Green",Scopus,2-s2.0-78049250706
119,"Lenka Pitonakova, Richard Crowder, Seth Bullock",55577424300;7006462867;56241246700;,Behaviour-data relations modelling language for multi-robot control algorithms,2017.0,IEEE International Conference on Intelligent Robots and Systems,2017-September,,8202231,727,732,,10.0,10.1109/IROS.2017.8202231,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041958123&doi=10.1109%2fIROS.2017.8202231&partnerID=40&md5=9e802524b5ecfaac3d57f22fe763926f,"Designing and representing control algorithms is challenging in swarm robotics, where the collective swarm performance depends on interactions between robots and with their environment. The currently available modeling languages, such as UML, cannot fully express these interactions. We therefore propose a new, Behaviour-Data Relations Modeling Language (BDRML), where robot behaviours and data that robots utilise, as well as relationships between them, are explicitly represented. This allows BDRML to express control algorithms where robots cooperate and share information with each other while interacting with the environment. © 2017 IEEE.",,Conference Paper,Final,"All Open Access, Green",Scopus,2-s2.0-85041958123
120,"Xin Zhao, Jeff Gray",57200511436;13105983500;,BESMER: An approach for bad smells summarization in systems models,2019.0,"Proceedings - 2019 ACM/IEEE 22nd International Conference on Model Driven Engineering Languages and Systems Companion, MODELS-C 2019",,,8904649,304,313,,2.0,10.1109/MODELS-C.2019.00047,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075945842&doi=10.1109%2fMODELS-C.2019.00047&partnerID=40&md5=83cafd09cf7d406df4e10484612a43e4,"Bad smells are surface indications of potential problems with source code quality and have been investigated deeply within the purview of object-oriented programming. However, there has not been much research conducted to understand bad smells within the context of systems models. Moreover, the majority of bad smells in existing literature have been suggested by experienced developers and researchers who may view 'smells' differently from inexperienced developers. To this end, we propose BESMER, our project that categorizes bad smells in systems models by mining discussion forum posts of end-users of a specific systems modeling tool. Specifically, this paper describes how our three-level discovery mechanism based on machine learning techniques assisted us in finding bad smells from the LabVIEW online discussion forum. Our experimental results not only confirm that end-users also encounter the bad smells proposed by experts, but also reveal new bad smells for LabVIEW models. We also present some implications discovered from the examination of user posts and list areas of future work based on our current findings. As far as we know, this is the first paper to investigate bad smells from an end-user's perspective within the context of systems models. © 2019 IEEE.",Bad smells; Discussion forum; LabVIEW; Machine learning; Systems modeling,Conference Paper,Final,,Scopus,2-s2.0-85075945842
121,"Hourieh Khalajzadeh, Andrew J. Simmons, Tarun Verma, Mohamed Abdelrazek, John Grundy, John Hosking, Qiang He, Prasanna Ratnakanthan, Adil Zia, Meng Law",55129244500;57155872400;57220075055;56080446200;7102156137;7005154879;55217854300;57215718243;57218691423;57219597511;,BiDaML in Practice: Collaborative Modeling of Big Data Analytics Application Requirements,2021.0,Communications in Computer and Information Science,1375,,,106,129,,0.0,10.1007/978-3-030-70006-5_5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103296998&doi=10.1007%2f978-3-030-70006-5_5&partnerID=40&md5=56b6dc1ba648e4b4ab2b3fe83883ebc3,"Using data analytics to improve industrial planning and operations has become increasingly popular and data scientists are more and more in demand. However, complex data analytics-based software development is challenging. It involves many new roles lacking in traditional software engineering teams – e.g. data scientists and data engineers; use of sophisticated machine learning (ML) approaches replacing many programming tasks; uncertainty inherent in the models; as well as interfacing with models to fulfill software functionalities. These challenges make communication and collaboration within the team and with external stakeholders challenging. In this paper, we describe our experiences in applying our BiDaML (Big Data Analytics Modeling Languages) approach to several large-scale industrial projects. We used our BiDaML modeling toolset that brings all stakeholders around one tool to specify, model and document their big data applications. We report our experience in using and evaluating this tool on three real-world, large-scale applications with teams from: realas.com – a property price prediction website for home buyers; VicRoads – a project seeking to build a digital twin (simulated model) of Victoria’s transport network updated in real-time by a stream of sensor data from inductive loop detectors at traffic intersections; and the Alfred Hospital – Intracranial hemorrhage (ICH) prediction through Computed Tomography (CT) Scans. These show that our approach successfully supports complex data analytics software development in industrial settings. © 2021, Springer Nature Switzerland AG.",BiDaML; Big data analytics; Big data modeling; Big data toolkits; Domain specific visual languages; End-user tools,Conference Paper,Final,,Scopus,2-s2.0-85103296998
122,"Stefan Warwas, Klaus Fischer, Matthias Klusch, Philipp Slusallek",26424118400;56214963000;56229075300;6701707716;,BOCHICA: A model-driven framework for engineering multiagent systems,2012.0,ICAART 2012 - Proceedings of the 4th International Conference on Agents and Artificial Intelligence,1,,,109,118,,3.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862134348&partnerID=40&md5=d550fba890ffdfe635e9cb831073cdfa,"Modeling real world agent-based systems is a complex endeavour. An ideal domain specific agent modeling language would be tailored to a certain application domain (e.g. virtual worlds) as well as to the target execution environment (e.g. a legacy virtual reality platform). This includes the use of specialized domain concepts, information models, software languages (e.g. query languages for reasoning about an agent's knowledge), as well as custom views and diagrams for designing the system. At the same time it is desirable to reuse application domain independent model artifacts such as interaction protocols (e.g. auction protocols) or goal/plan decompositions of a certain problem domain that already proved their use in similar scenarios. Current agent modeling languages cover the core concepts of multiagent systems but are neither thought to be customized for a certain application domain nor to be extended by external researchers with new or alternative AI and agent concepts. In this paper we propose a model-driven framework for engineering multiagent systems, called BOCHICA, which is based on a platform independent core modeling language and can be tailored through several extension interfaces to the user's needs. The framework leverages the reuse of existing design patterns and reduces development time and costs for creating application domain specific modeling solutions. We evaluated our approach on a distributed semantic web based execution platform for virtual worlds.",Agent-oriented software engineering; Modeling framework,Conference Paper,Final,,Scopus,2-s2.0-84862134348
123,Martin Molina,55926142500;,Building a decision support system with a knowledge modeling tool,2005.0,Journal of Decision Systems,14,3,,303,320,,3.0,10.3166/jds.14.303-320,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984606020&doi=10.3166%2fjds.14.303-320&partnerID=40&md5=20e2ed6ef3d37f3d6f9d7c49d88eba6a,"Knowledge modeling tools are software tools that follow a modelling approach to help developers in building a knowledge-based system. The purpose of this article is to show the advantages of using this type of tools in the development of complex knowledge-based decision support systems. In order to do so, the article describes the development of a system called SAIDA in the domain of hydrology with the help of the KSM modeling tool. SAIDA operates on real-time receiving data recorded by sensors (rainfall, water levels, flows, etc.). It follows a multi-agent architecture to interpret the data, predict the future behavior and recommend control actions. The system includes an advanced knowledge based architecture with multiple symbolic representation. KSM was especially useful to design and implement the complex knowledge based architecture in an efficient way. © 2005 Taylor & Francis Group, LLC.",Intelligent decision-making support systems; Knowledge acquisition tool; Knowledge modeling tool,Article,Final,"All Open Access, Green",Scopus,2-s2.0-84984606020
124,"Karim Baïna, Mahmoud El Hamlaoui, Hibatallah Kabbaj",55891222800;55917205200;57219985479;,Business Process Modelling Augmented: Model Driven transformation of User Stories to Processes,2020.0,PervasiveHealth: Pervasive Computing Technologies for Healthcare,,,,215,220,,0.0,10.1145/3419604.3419793,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096411195&doi=10.1145%2f3419604.3419793&partnerID=40&md5=9c2213523602ada2a3463369b32c3d10,The Purpose of our paper is to present a lightweight efficient approach for analysing user stories backlog in order to generate a business process model. A review of literature has been conducted to study contributions in the domain of automatic business process extraction from textual requirements. We found that most of interesting approaches analysing user stories use natural language processing techniques for software projects requirements understanding and none of them target business process modeling automation. The Originality of our contribution is the proposition of a model driven based parsing of user stories backlog and transformations to generate a process model. This work thus contributes with a novel agile iterative methodology augmenting business process design phase with automation assistant transforming user stories textual requirements into a business process model. © 2020 ACM.,Additional Key Words and Phrases: BPM User Story XPDL BPMN MDE Transformation,Conference Paper,Final,,Scopus,2-s2.0-85096411195
125,"Qingchao Dong, Zhixue Wang, Weixing Zhu, Hongyue He",35181090500;7410042300;55272219300;40561110200;,Capability requirements modeling and verification based on fuzzy ontology,2012.0,Journal of Systems Engineering and Electronics,23,1,,78,87,,5.0,10.1109/JSEE.2012.00011,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863182758&doi=10.1109%2fJSEE.2012.00011&partnerID=40&md5=8484da6d79b5d69ee5e8ecc9c0087c6b,"The capability requirements of the command, control, communication, computing, intelligence, surveillance, reconnaissance (C4ISR) systems are full of uncertain and vague information, which makes it difficult to model the C4ISR architecture. The paper presents an approach to modeling the capability requirements with the fuzzy unified modeling language (UML) and building domain ontologies with fuzzy description logic (DL). The UML modeling constructs are extended according to the meta model of Department of Defense Architecture Framework to improve their domain applicability, the fuzzy modeling mechanism is introduced to model the fuzzy efficiency features of capabilities, and the capability requirement models are converted into ontologies formalized in fuzzy DL so that the model consistency and reasonability can be checked with a DL reasoning system. Finally, a case study of C4ISR capability requirements model checking is provided to demonstrate the availability and applicability of the method.",Fuzzy description logic (DL); Fuzzy ontology; Fuzzy unified modeling language (UML); Model checking,Article,Final,,Scopus,2-s2.0-84863182758
126," Parasyuk,  Yershov",6603373923;57193414970;,Category-theoretic formalization in designing fuzzy intelligent systems,2009.0,Cybernetics and Systems Analysis,45,6,,982,987,,1.0,10.1007/s10559-009-9162-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-72449175801&doi=10.1007%2fs10559-009-9162-9&partnerID=40&md5=86c2af941a5af1f2b2ecb008e9b51b92,"A complex of problems related to the category-theoretic formalization of fuzzy UML diagrams, fuzzy graphs, and fuzzy-graph transformation systems is examined. The basic constraints that must be satisfied by UML diagrams, which are the basis of fuzzy models of intelligent systems, are investigated. The category-theoretic approach is used to analyze the properties of inference specification based on a distributed system of fuzzy-graph transformations. Means for the compositional construction of fuzzy systems are developed using morphisms and categories of fuzzy graphs. © 2009 Springer Science+Business Media, Inc.",Category theory; Fuzzy graphs; Graph transformations; Model-driven architecture; Transformation approach,Article,Final,,Scopus,2-s2.0-72449175801
127,"Yinghao Li, Hiroki Shibata, Yasufumi Takama",57214762824;57203287501;6603678432;,Chatbot-mediated Personal Daily Context Modeling upon User Story Graph,2019.0,"Proceedings - 2019 International Conference on Technologies and Applications of Artificial Intelligence, TAAI 2019",,,8959867,,,,1.0,10.1109/TAAI48200.2019.8959867,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079045020&doi=10.1109%2fTAAI48200.2019.8959867&partnerID=40&md5=b651c5111df4ec4330b08f200953c353,"This paper proposes a computer-understandable presentation as user story graph and a method for obtaining users' daily context using a conversational interface. Lean Manufacturing, originally designed for minimizing storage costs and increasing productivity, has been successfully adopted in software development and brought up the popularity of Agile Development in the last couple of decades. In addition to software development, it has extended to development in personal and professional life management, such as Personal Kanban and bunch of TODO-like applications. However, most practices and experiences shared are currently still within original methodology and tools from manufacturing or project development, where adaptation to the personal application has not yet been enough.This paper employs the user story model from requirements engineering to represent personal daily context. The proposed system is designed based on a conversational interface, which maps occurrences from personal daily context into a user story graph extended for describing personal daily context. This paper describes a mechanism of constructing user story graph through a chatbot and illustrates how to use the obtained graph to assist individual task management through a couple of scenarios. © 2019 IEEE.",Conceptual modeling; Conversational user interfaces; Intelligent agent interaction; Requirements engineering; User stories,Conference Paper,Final,,Scopus,2-s2.0-85079045020
128," Harmain,  Gaizauskas",6507575655;57207525309;,CM-Builder: A natural language-based CASE tool for object-oriented analysis,2003.0,Automated Software Engineering,10,2,,157,181,,94.0,10.1023/A:1022916028950,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037385209&doi=10.1023%2fA%3a1022916028950&partnerID=40&md5=59c7d629439e512cdc9e6cf911d08084,"Graphical CASE (Computer Aided Software Engineering) tools provide considerable help in documenting the output of the Analysis and Design stages of software development and can assist in detecting incompleteness and inconsistency in an analysis. However, these tools do not contribute to the initial, difficult stage of the analysis process, that of identifying the object classes, attributes and relationships used to model the problem domain. This paper describes an NL-Based CASE tool called Class Model Builder (CM-Builder) which aims at supporting this aspect of the Analysis stage of software development in an Object-Oriented framework. CM-Builder uses robust Natural Language Processing techniques to analyse software requirements texts written in English and constructs, either automatically or interactively with an analyst, an initial UML Class Model representing the object classes mentioned in the text and the relationships among them. The initial model can be directly input to a graphical CASE tool for further refinement by a human analyst. CM-Builder has been quantitatively evaluated in blind trials against a collection of unseen software requirements texts and we present the results of this evaluation, together with the evaluation method. The results are very encouraging and demonstrate that tools such as CM-Builder have the potential to play an important role in the software development process.",Evaluation of language processing technology; Natural language processing; Object-oriented analysis; Software requirements text analysis,Conference Paper,Final,,Scopus,2-s2.0-0037385209
129,"Gayane Sedrakyan, Monique Snoeck",55320792200;55968864600;,Cognitive feedback and behavioral feedforward automation perspectives for modeling and validation in a learning context,2017.0,Communications in Computer and Information Science,692,,,70,92,,10.0,10.1007/978-3-319-66302-9_4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030089858&doi=10.1007%2f978-3-319-66302-9_4&partnerID=40&md5=85bc6464be96d4265600b33545a39527,"State-of-the-art technologies have made it possible to provide a learner with immediate computer-assisted feedback by delivering a feedback targeting cognitive aspects of learning, (e.g. reflecting on a result, explaining a concept, i.e. improving understanding). Fast advancement of technology has recently generated increased interest for previously non-feasible approaches for providing feedback based on learning behavioral observations by exploiting different traces of learning processes stored in information systems. Such learner behavior data makes it possible to observe different aspects of learning processes in which feedback needs of learners (e.g. difficulties, engagement issues, inefficient learning processes, etc.) based on individual learning trajectories can be traced. By identifying problems earlier in a learning process it is possible to deliver individualized feedback helping learners to take control of their own learning, i.e. to become self-regulated learners, and teachers to understand individual feedback needs and/or adapt their teaching strategies. In this work we (i) propose cognitive computer-assisted feedback mechanisms using a combination of MDE based simulation augmented with automated feedback, and (ii) discuss perspectives for behavioral feedback, i.e. feedforward, that can be based on learning process analytics in the context of learning conceptual modeling. Aggregated results of our previous studies assessing the effectiveness of the proposed cognitive feedback method with respect to improved understanding on different dimensions of knowledge, as well as feasibility of behavioral feedforward automation based on learners behavior patterns, are presented. Despite our focus on conceptual modeling and specific diagrams, the principles of the approach presented in this work can be used to support educational feedback automation for a broader spectrum of diagram types beyond the scope of conceptual modeling. © 2017, Springer International Publishing AG.",Conceptual modeling; Feedback automation; Learning process analytics; Model driven development; Model testing/validation; Rapid prototyping; Simulation; Simulation feedback; Smart learning environments,Conference Paper,Final,"All Open Access, Green",Scopus,2-s2.0-85030089858
