Title,Year,Authors,Author Keywords,Document Type,NumPages,SourceTitle,DOI,Citations,Source,AI Taxonomy Domain,AI Taxonomy Subdomain,AI Technique,AI model Value to CM,Modeling Purpose,Modelling Language,Tool Support,Contribution Type,Research Type,Author Affiliations,Abstract,Countries,universities
GAIA: A CAD environment for model-based adaptation of game-playing software agents,2013,"Spencer Rugaber, Ashok K. Goel, Lee Martie","Intelligent Agents, Interactive Games, Meta-Reasoning, Model-Based Systems Engineering, Self-Adaptation, Task Models",Conference Paper,10,"Conference on Systems Engineering Research, CSER",https://doi.org/10.1016/j.procs.2013.01.004,9,Scopus,"Integration and Interaction, Learning",Multi-agent systems,Multi-Agent Systems,Model Use - Processing,Code Generation,DSML,Closed,"Concepts, Algorithms","Solution, Evaluation","[{'name': 'Spencer Rugaber', 'Affiliation(s)': ('Georgia Institute of Technology', 'United States')}, {'name': 'Ashok K. Goel', 'Affiliation(s)': ('Georgia Institute of Technology', 'United States')}, {'name': 'Lee Martie', 'Affiliation(s)': ('California, Irvine, University of', 'United States')}]","We view interactive games and game-playing software agents as complex systems. This allows us to adopt the stance of computer-aided design and model-based systems engineering to designing game-playing agents. In this paper, we describe a model-based technique for self-adaptation in game-playing agents. Our game-playing agent contains a self-model that describes its internal state.. Our approach to self-adaptation takes the form of an interactive game-agent development environment called GAIA, an agent modeling language called TMKL2, and an agent self-adaptation engine called REM.. We evaluate the approach by applying it to an agent that plays parts of the interactive turn-based strategy game called Freeciv. © 2013 The authors. Published by Elsevier B.V.","['United States', 'United States', 'United States']","['Georgia Institute of Technology', 'Georgia Institute of Technology', 'California, Irvine, University of']"
Generating efficient mutation operators for search-based model-driven engineering,2017,Daniel Strüber,,Conference Paper,17,"International Conference on Theory and Practice of Model Transformations, ICMT",https://doi.org/10.1007/978-3-319-61473-1_9,11,Scopus,Planning,"Optimization, Searching",,Model Use - Processing,,"UML & UML Diagram Type & UML Profile, UML & UML Diagram Type & UML Profile",https://github.com/dstrueber/fitnessstudio,Algorithms,"Solution, Evaluation","[{'name': 'Daniel Strüber', 'Affiliation(s)': ('Koblenz-Landau, University of', 'Germany')}]","© Springer International Publishing AG 2017.Software engineers are frequently faced with tasks that can be expressed as optimization problems. To support them with automation, search-based model-driven engineering combines the abstraction power of models with the versatility ofmeta-heuristic search algorithms. While current approaches in this area use genetic algorithms with fixed mutation operators to explore the solution space, the efficiency of these operators may heavily depend on the problem at hand. In this work, we propose FitnessStudio, a technique for generating efficient problem-tailored mutation operators automatically based on a two-tier framework. The lower tier is a regular meta-heuristic search whose mutation operator is “trained” by an upper-tier search using a higher-order model transformation. We implemented this framework using the Henshin transformation language and evaluated it in a benchmark case, where the generated mutation operators enabled an improvement to the state of the art in terms of result quality, without sacrificing performance.",['Germany'],['University of Koblenz-Landau']
Generating examples for knowledge abstraction in MDE: A multi-objective framework,2015,Edouard Batot,,Conference Paper,6,CEUR Workshop,,3,Scopus,Planning,Optimization,Genetic Algorithms,Model Creation - Automated,,Ecore,https://github.com/atlanmod/mondo-atlzoo-benchmark/tree/master/fr.inria.atlanmod.instantiator,Algorithms,"Solution, Evaluation","[{'name': 'Edouard Batot', 'Affiliation(s)': ('Montreal, University of', 'Canada')}]","Model-Driven Engineering (MDE) aims at raising the level of abstraction in software development and therefore relies on task automation. To foster automation, MDE promotes the use of specific domain languages (DSLs), essential to express ideas at the domain level. Furthermore, to ease communication between computer science and other fields, modelers employ model examples (i.e., selected metamodel instances) to illustrate and refine their conceptual ideas. But, if the use of model examples has shown its efficiency, it is still an ad hoc process which requires automation. In this paper, we briefly depict the thorough example-to-knowledge learning process. Then, we present a framework that produces, from a metamodel, a representative model example set with regards to a given coverage definition. To find the best trade-off between coverage and a necessary minimality objectives, we use a non-dominated genetic algorithm (NSGA-II). We illustrated our method by generating a near-optimal set of models for the peculiar constraint learning task. We evaluated its efficiency comparing the resulting generated set with the best one issued from a raw random generation. Our encouraging preliminary results let us envision a deep study of the relation between various types of coverage and their impact on our ability to abstract knowledge from examples.",['Canada'],['University of Montreal']
Generating personalized and certifiable workflow designs: A prototype,2019,"Manon Froger, Frederick Bénaben, Sébastien Truptil, Nicolas Boissel-Dallier",,Conference Paper,16,"International Conference on Services Computing, SCC",https://doi.org/10.1007/978-3-030-23554-3_3,0,Scopus,Communication,Natural language processing,NLP,Model Creation - Automated,,BPMN,Closed,"Concepts, Algorithms",Solution,"[{'name': 'Manon Froger', 'Affiliation(s)': [('IMT Mines Albi', 'France'), ('Iterop', 'France')]}, {'name': 'Frederick Bénaben', 'Affiliation(s)': ('IMT Mines Albi', 'France')}, {'name': 'Sébastien Truptil', 'Affiliation(s)': ('IMT Mines Albi', 'France')}, {'name': 'Nicolas Boissel-Dallier', 'Affiliation(s)': ('Iterop', 'France')}]","© Springer Nature Switzerland AG 2019.As the first level of a BPM strategy, being able to design event-oriented models of processes is a must-have competence for every modern business. Unfortunately, industrial procedures have reached a certain complexity making the designing task complex enough to discourage businesses facing the blank page. Moreover, the 21st century witnesses the emergence of myriads of norms and external regulations that businesses want to abide by. Although domain experts have a limited process modelling and norm interpretation knowledge, they know how to describe their activities and their sequencing. With progresses made in the artificial intelligence, particularly in the natural language processing domain, it becomes possible to automatize the task of creating a process in compliance with norms. This paper presents a business-oriented prototype assisting users in getting certifiable specific business processes. We detail the metamodel used to separately model norms and business’ existing procedures and then, the algorithm envisaged to deduce a corresponding cartography of processes.","['France', 'France', 'France', 'France', 'France']","['IMT Mines Albi', 'Iterop', 'IMT Mines Albi', 'IMT Mines Albi', 'Iterop']"
Generating test cases for constraint automata by genetic symbiosis algorithm,2006,"Samira Tasharofi, Sepand Ansari, Marjan Sirjani",constraint automata; finite-state machine testing; automatic test data generation; genetic algorithms; symbiotic evolutionary algorithms,Article,16,"International Conference on Formal Engineering Methods, ICFEM",https://doi.org/10.1007/11901433_26,3,Scopus,Planning,Optimization,Genetic Algorithms,Model Use - Processing,Code Generation,"UML & UML Diagram Type & UML Profile, UML & UML Diagram Type & UML Profile",Closed,Algorithms,"Solution, Evaluation","[{'name': 'Samira Tasharofi', 'Affiliation(s)': ('Tehran, University of', 'Iran')}, {'name': 'Sepand Ansari', 'Affiliation(s)': ('Tehran, University of', 'Iran')}, {'name': 'Marjan Sirjani', 'Affiliation(s)': [('Tehran, University of', 'Iran'), ('Institute for Studies in Theoretical Physics and Mathematics, Tehran', 'Iran')]}]","Constraint automata are a semantic model for Reo modeling language. Testing correctness of mapping black-box components in Reo to constraint automata is an important problem in analyzing the semantic model of Reo. This testing requires a suite of test cases that cover the automaton states and transitions and also examine different paths. In this paper, Genetic Algorithm (GA) is employed to generate such suite of test cases. This test data generation is improved by Genetic Symbiosis Algorithm (GSA). The results show that GSA approach brings us a suite of test cases with full coverage of automata states and transitions and also diversity of examined paths. © Springer-Verlag Berlin Heidelberg 2006.","['Iran', 'Iran', 'Iran', 'Iran']","['University of Tehran', 'University of Tehran', 'University of Tehran', 'Institute for Studies in Theoretical Physics and Mathematics, Tehran']"
Generating test data from OCL constraints with search techniques,2013,"Shaukat Ali, Muhammad Zohaib Iqbal, Andrea Arcuri, Lionel C. Briand",OCL; search-based testing; test data generation; empirical evaluation; search-based software engineering; model-based testing,Article,27,IEEE Transactions on Software Engineering,https://doi.org/10.1109/TSE.2013.17,92,Scopus,Planning,Optimization,Genetic Algorithms,Model Use - Processing,Code Generation,UML & UML Diagram Type & UML Profile,"TRUST: S. Ali, H. Hemmati, N.E. Holt, E. Arisholm, and L.C. Briand, “Model Transformations as a Strategy to Automate Model-Based Testing—A Tool and Industrial Case Studies,” technical report, Simula Research Laboratory, 2010.",Algorithms,"Solution, Evaluation","[{'name': 'Shaukat Ali', 'Affiliation(s)': ('Simula Research Laboratory', 'Norway')}, {'name': 'Muhammad Zohaib Iqbal', 'Affiliation(s)': ('National University of Computer and Emerging Sciences Islamabad', 'Pakistan')}, {'name': 'Andrea Arcuri', 'Affiliation(s)': ('Simula Research Laboratory', 'Norway')}, {'name': 'Lionel C. Briand', 'Affiliation(s)': ('Luxembourg, University of', 'Luxembourg')}]","Model-based testing (MBT) aims at automated, scalable, and systematic testing solutions for complex industrial software systems. To increase chances of adoption in industrial contexts, software systems can be modeled using well-established standards such as the Unified Modeling Language (UML) and the Object Constraint Language (OCL). Given that test data generation is one of the major challenges to automate MBT, we focus on test data generation from OCL constraints in this paper. This endeavor is all the more challenging given the numerous OCL constructs and operations that are designed to facilitate the definition of constraints. Though search-based software testing has been applied to test data generation for white-box testing (e.g., branch coverage), its application to the MBT of industrial software systems has been limited. In this paper, we propose a set of search heuristics targeted to OCL constraints to guide test data generation and automate MBT in industrial applications. We evaluate these heuristics for three search algorithms: Genetic Algorithm, (1+1) Evolutionary Algorithm, and Alternating Variable Method. We empirically evaluate our heuristics using complex artificial problems, followed by empirical analyses of the feasibility of our approach on one industrial system in the context of robustness testing. Our approach is also compared with the most widely referenced OCL solver (UMLtoCSP) in the literature and shows to be significantly more efficient. © 2013 IEEE.","['Norway', 'Pakistan', 'Norway', 'Luxembourg']","['Simula Research Laboratory', 'National University of Computer and Emerging Sciences Islamabad', 'Simula Research Laboratory', 'University of Luxembourg']"
Generating test-cases from an object-oriented model with an artificial-intelligence planning system,2000,"von Mayrhauser, A, France, R, Scheetz, M, Dahlman, E",AI (artificial intelligence) planning; test-case generation; test objective; UML (unified modeling language) class diagram,Article,11,IEEE TRANSACTIONS ON RELIABILITY,https://doi.org/10.1109/24.855534,18,Web of Science,Planning,Planning and Scheduling,,Model Use - Processing,Code Generation,"UML & UML Diagram Type & UML Profile, UML & UML Diagram Type & UML Profile",Closed,Algorithms,Solution,"[{'name': 'von Mayrhauser, A', 'Affiliation(s)': ('Colorado State University', 'United States')}, {'name': 'France, R', 'Affiliation(s)': ('Colorado State University', 'United States')}, {'name': 'Scheetz, M', 'Affiliation(s)': ('Colorado State University', 'United States')}, {'name': 'Dahlman, E', 'Affiliation(s)': ('Colorado State University', 'United States')}]","Black-box test-generation requires a model of the system under test to describe what is to be tested. Testing criteria and test objectives define how it is to be tested. This paper describes an approach to black-box test-generation in which an AI (artificial intelligence) planner is used to generate test cases from test objectives derived from UML (Unified Modeling Language) Class Diagrams. The UML Class Diagrams are conceptual models of the systems under test. They differ from traditional design and requirements models in that they include information pertinent to test case generation. From these models, test objectives and a domain theory are: obtained, transformed to planner representations, and input to the planner. The planner uses the problem description to generate a test suite that satisfies the UML-derived test objectives. This paper describes the application of the testing approach to an industrial problem.","['United States', 'United States', 'United States', 'United States']","['Colorado State University', 'Colorado State University', 'Colorado State University', 'Colorado State University']"
Generation of improved test cases from UML state diagram using genetic algorithm,2011,"Mahesh Shirole, Amit Suthar, Rajeev Kumar","statechart diagram, model based testing, feasible transition path, extended finite state machine, genetic algorithm",Conference Paper,10,"India Software Engineering Conference, ISEC",https://doi.org/10.1145/1953355.1953374,31,Scopus,Planning,Optimization,Genetic Algorithms,Model Use - Processing,Code Generation,"UML & UML Diagram Type & UML Profile, UML & UML Diagram Type & UML Profile",Closed,Algorithms,"Solution, Evaluation","[{'name': 'Mahesh Shirole', 'Affiliation(s)': ('Indian Institute of Technology Kharagpur', 'India')}, {'name': 'Amit Suthar', 'Affiliation(s)': ('Indian Institute of Technology Kharagpur', 'India')}, {'name': 'Rajeev Kumar', 'Affiliation(s)': ('Indian Institute of Technology Kharagpur', 'India')}]",An UML statechart diagram is used to model the dynamic aspects of object oriented software systems. A Finite State Machine (FSM) and an Extended Finite State Machine (EFSM) are commonly used for Model Based-Testing (MBT). A test case generation from FSM is easy due to unconditional transition from state to state by traversal. A test case generation from EFSM needs to satisfy the guard condition before transition from state to state. Testing from EFSM is difficult due to unfeasible paths and test data. This paper proposes a search-based approach to find feasible transition sequences and test data generation. The Unified Modeling Language specifications are translated into extended flow graphs. An Extended flow graph from EFSM specifies the control and data flow in a statechart diagram. To guide the feasible transition path a genetic algorithm (GA) framework is proposed. It is shown that the test cases so generated yield an improved test set.,"['India', 'India', 'India']","['Indian Institute of Technology Kharagpur', 'Indian Institute of Technology Kharagpur', 'Indian Institute of Technology Kharagpur']"
Genetic-based web regression testing: an ontology-based multi-objective evolutionary framework to auto-regression testing of web applications,2021,Maryam Nooraei Abadeh,,Article,20,Service Oriented Computing and Applications,https://doi.org/10.1007/s11761-020-00312-y,1,Scopus,Planning,Optimization,Genetic Algorithms,Model Use - Processing,Code Generation,Domain Ontology,Closed,"Concepts, Algorithms","Solution, Evaluation","[{'name': 'Maryam Nooraei Abadeh', 'Affiliation(s)': ('Islamic Azad University, Abadan Branch', 'Iran')}]","© 2021, The Author(s), under exclusive licence to Springer-Verlag London Ltd. part of Springer Nature.Regression testing is one of the most critical activities in the software maintenance process and its importance is twofold for evolutionary applications, e.g., modern flexible web-based applications. By increasing the complexity of application due to the rapid change, automatic evolutionary testing approaches are essential to find solutions providing different trade-offs between testing objectives by applying evolutionary computation. This paper proposes a model-based regression test case generation framework, as an optimization solution, by impressively taking the advantages of the genetic algorithms (GAs), called genetic-based web regression testing (GbWRT). The aim of the paper is twofold. Firstly, a meta-ontology has been designed based on an in-deep assessment to capture testing challenges caused by the inherent dynamic properties of web applications. Secondly, the multi-objective fitness functions of GbWRT are defined built on top of the meta-ontology in terms of the most important meta-model features. GbWRT minimizes exploration and exploitation in regression testing using an incremental change adaption technique implemented in the proposed GA. This approach allows a new incremental regression testing strategy to solve fault detection effectiveness and the coverability problems which are extendable to different domain-specific modeling environments. GbWRT is evaluated using the proposed fitness functions on two experimental case studies. Also, the results of comparison with three non-evolutionary and evolutionary regression testing methods indicate that the GbWRT is competitive with the state of the art regarding solution quality to perform in web-based non-stationary environments.",['Iran'],"['Islamic Azad University, Abadan Branch']"
Grammatical Inference System for Finite State Automata - GIFSA,2017,"Chafia Kara-Mohamed, Aboubekeur Hamdi-Cherif, Hanan Al'Alwi, Khawlah Al-Khalifa, Nawal Al-Harbi",Grammatical Inference (GI); Finite State Automata (FSA); UML Design,Conference Paper,6,"International Conference on Computational Science and Computational Intelligence, CSCI",https://doi.org/10.1109/CSCI.2016.0239,0,Scopus,Planning,Searching,,Model Use - Processing,Code Generation,Others,Closed,Tools,Solution,"[{'name': 'Chafia Kara-Mohamed', 'Affiliation(s)': [('Qassim University', 'Saudi Arabia'), ('Ferhat Abbas Sétif University 1', 'Algeria')]}, {'name': 'Aboubekeur Hamdi-Cherif', 'Affiliation(s)': [('Qassim University', 'Saudi Arabia'), ('Ferhat Abbas Sétif University 1', 'Algeria')]}, {'name': ""Hanan Al'Alwi"", 'Affiliation(s)': [('Qassim University', 'Saudi Arabia'), ('Ferhat Abbas Sétif University 1', 'Algeria')]}, {'name': 'Khawlah Al-Khalifa', 'Affiliation(s)': [('Qassim University', 'Saudi Arabia'), ('Ferhat Abbas Sétif University 1', 'Algeria')]}, {'name': 'Nawal Al-Harbi', 'Affiliation(s)': [('Qassim University', 'Saudi Arabia'), ('Ferhat Abbas Sétif University 1', 'Algeria')]}]","© 2016 IEEE.As a first step toward the development of a general grammatical inference (GI) software environment, GIFSA represents an integrated system for inferring finite state automata (FSA). Using the unified modeling language (UML), GIFSA offers a continuously upgradable software system initially implementing two AI-based algorithms, namely the tabu search method and the minimum description length (MDL) principle. For portability reasons, Java™ programming language is used for development, enhanced by a friendly graphical user interface (GUI).","['Saudi Arabia', 'Algeria', 'Saudi Arabia', 'Algeria', 'Saudi Arabia', 'Algeria', 'Saudi Arabia', 'Algeria', 'Saudi Arabia', 'Algeria']","['Qassim University', 'Ferhat Abbas Sétif University 1', 'Qassim University', 'Ferhat Abbas Sétif University 1', 'Qassim University', 'Ferhat Abbas Sétif University 1', 'Qassim University', 'Ferhat Abbas Sétif University 1', 'Qassim University', 'Ferhat Abbas Sétif University 1']"
Hank: A friendly cognitive modelling language for psychology students,1998," Mulholland,  Watt",,Conference Paper,7,"IEEE Symposium on Visual Languages, VL",https://doi.org/10.1109/VL.1998.706165,2,Scopus,"Ethics and Philosophy, Reasoning",Knowledge representation,,,Code Generation,DSML,Closed,Concepts,Solution,"[{'name': ' Mulholland', 'Affiliation(s)': ('The Open University', 'United Kingdom')}, {'name': ' Watt', 'Affiliation(s)': ('The Open University', 'United Kingdom')}]","© 1998 IEEE.Cognitive modelling involves building computational models of psychological theories in order to learn more about them, and is a major research area allied to psychology and artificial intelligence. The main problem is that few psychology students have previous programming experience. The course lecturer can avoid the problem by presenting the area only in general terms. This leaves the programming side, which is central to the methodology, a closed book. Alternatively, students can be introduced to one of the existing cognitive modelling languages, though this can easily be overwhelming, hindering rather than helping their understanding. Our solution was to design and build a programming language for the intended population. The result is Hank, a visual cognitive modelling language for the non-programmer. The design of Hank drew on research areas including end-user programming and software visualization to find an appropriate design. A number of empirical studies are planned.","['United Kingdom', 'United Kingdom']","['The Open University', 'The Open University']"
How affordances can rule the (computational) world,2013,"Alice Ruggeri, Luigi Di Caro",,Conference Paper,12,CEUR Workshop,,4,Scopus,"Reasoning, Communication","Knowledge representation, Natural language processing",,,"Representation, Analysis",Domain Ontology,Not Available,Concepts,Solution,"[{'name': 'Alice Ruggeri', 'Affiliation(s)': ('Turin, University of', 'Italy')}, {'name': 'Luigi Di Caro', 'Affiliation(s)': ('Turin, University of', 'Italy')}]","Copyright © 2013 for the individual papers by the papers' authors.In this paper we present an ontology representation which models the reality as not objective nor subjective. Relying on a Gibsonian vision of the world to represent, our assumption is that objects naturally give suggestions on how they can be used. From an ontological point of view, this leads to the problem of having different representations of identical objects depending on the context and the involved agents, creating a more realistic multi-diffensional object space to be formally defined. While avoiding to represent purely subjective views, the main issue that needs to be faced is how to manage the highest complexity with the minimum resource requirements. More in detail, we extend the idea of ontologies taking into account the subjectivity of the agents that are involved in the interaction. Instead of duplicating objects, according to the interaction, the ontology changes its aspect, fitting the specific situations that take place. We propose the centerpieces of the idea as well as suggestions of applications that such approach can have in several domains, ranging from Natural Language Processing techniques and Ontology Alignment to User Modeling and Social Networks.","['Italy', 'Italy']","['University of Turin', 'University of Turin']"
HTM5-Trade Model for relationship based trade modelling in multi agent systems,2013,"Vineet Nagrath, Olivier Morel, Aamir Saeed Malik, M Naufal B.M. Saad, Fabrice Meriaudeau",Cloud Computing;Model Driven Architecture;Multi Agent Systems;Multi View Modelling;Software Engineering,Conference Paper,9,"Science and Information Conference, SAI",,2,Scopus,"Reasoning, Integration and Interaction","Multi-agent systems, Knowledge representation",,,Code Generation,DSML,Not Available,Concepts,Solution,"[{'name': 'Vineet Nagrath', 'Affiliation(s)': ('CNRS Centre National de la Recherche Scientifique', 'France')}, {'name': 'Olivier Morel', 'Affiliation(s)': ('CNRS Centre National de la Recherche Scientifique', 'France')}, {'name': 'Aamir Saeed Malik', 'Affiliation(s)': ('UTP', 'Malaysia')}, {'name': 'M Naufal B.M. Saad', 'Affiliation(s)': ('CNRS Centre National de la Recherche Scientifique', 'France')}, {'name': 'Fabrice Meriaudeau', 'Affiliation(s)': ('CNRS Centre National de la Recherche Scientifique', 'France')}]","Cloud computing and multi agent systems are two different but correlated flavors of distributed computing. Cloud computing is a business oriented model with efficient infrastructural usage as the prime focus while the multi agent system research is oriented towards the development of intelligent applications on distributed infrastructure. The commonality between the two appears when agents in a multi-agent system trade services with other agents. In recent years, model driven engineering is changing the way software is developed for complex distributed systems. Multi-view models are collection of models for a system under study, where every model is called a 'view' of the system and captures a different aspect of the design. Relationships are important aspects of multi-agent system design as agents are evolved from the concept of objects in object oriented modelling. The current work proposes a model for relationship based modelling of service oriented trade in a multi agent system. The proposed model may also be used to model intelligent cloud computing services based on multi-agent systems. The model is one of the 5 'views' of a 5-View Hyperactive Transaction Meta-Model HTM5 and thus called HTM5-Trade Model. © 2013 The Science and Information Organization.","['France', 'France', 'Malaysia', 'France', 'France']","['CNRS Centre National de la Recherche Scientifique', 'CNRS Centre National de la Recherche Scientifique', 'UTP', 'CNRS Centre National de la Recherche Scientifique', 'CNRS Centre National de la Recherche Scientifique']"
Hybrid genetic algorithm and association rules for mining workflow best practices,2012,"Amy H.L. Lim, Chien-Sing Lee, Murali Raman",DSS development-functionality; Development-methodology-business models; Business intelligence; Genetic algorithm; Performance measurement; E-commerce,Article,8,Expert Systems with Applications,https://doi.org/10.1016/j.eswa.2012.02.183,28,Scopus,Planning,Optimization,Genetic Algorithms,Model Use - Processing,"Representation, (Re-) Design, Analysis",Petri Nets,Closed,Algorithms,Solution,"[{'name': 'Amy H.L. Lim', 'Affiliation(s)': ('Multimedia University', 'Malaysia')}, {'name': 'Chien-Sing Lee', 'Affiliation(s)': ('Multimedia University', 'Malaysia')}, {'name': 'Murali Raman', 'Affiliation(s)': ('Multimedia University', 'Malaysia')}]","Business workflow analysis has become crucial in strategizing how to create competitive edge. Consequently, deriving a series of positively correlated association rules from workflows is essential to identify strong relationships among key business activities. These rules can subsequently, serve as best practices. We have addressed this problem by hybridizing genetic algorithm with association rules. First, we used correlation to replace support-confidence in genetic algorithm to enable dynamic data-driven determination of support and confidence, i.e.; use correlation to optimize the derivation of positively correlated association rules. Second, we used correlation as fitness function to support upward closure in association rules (hitherto, association rules support only downward closure). The ability to support upward closure allows derivation of the most specific association rules (business model) from less specific association rules (business meta-model) and generic association rules (reference meta-model). Downward closure allows the opposite. Upward-downward closures allow the manager to drill-down and analyze based on the degree of dependency among business activities. Subsequently, association rules can be used to describe best practices at the model, meta-model and reference meta-model levels with the most general positively dependent association rules as reference meta-model. Experiments are based on an online hotel reservation system. © 2012 Elsevier Ltd. All rights reserved.","['Malaysia', 'Malaysia', 'Malaysia']","['Multimedia University', 'Multimedia University', 'Multimedia University']"
Identifying duplicate functionality in textual use cases by aligning semantic actions,2016,"Alejandro Rago, Claudia Marcos, J. Andres Diaz-Pace",,Article,25,Software and Systems Modeling,https://doi.org/10.1007/s10270-014-0431-3,14,Scopus,"Learning, Communication","Natural language processing, Machine learning","NLP, Machine Learning",Model Use - Processing,Representation,"UML & UML Diagram Type & UML Profile, UML & UML Diagram Type & UML Profile",Closed,Algorithms,"Solution, Evaluation","[{'name': 'Alejandro Rago', 'Affiliation(s)': [('National University of Buenos Aires Central Province', 'Argentina'), ('Consejo Nacional de Investigaciones Científicas y Técnicas', 'Argentina')]}, {'name': 'Claudia Marcos', 'Affiliation(s)': [('National University of Buenos Aires Central Province', 'Argentina'), ('Comision de Investigaciones Cientificas - La Plata', 'Argentina')]}, {'name': 'J. Andres Diaz-Pace', 'Affiliation(s)': [('National University of Buenos Aires Central Province', 'Argentina'), ('Consejo Nacional de Investigaciones Científicas y Técnicas', 'Argentina')]}]","© 2014, Springer-Verlag Berlin Heidelberg.Developing high-quality requirements specifications often demands a thoughtful analysis and an adequate level of expertise from analysts. Although requirements modeling techniques provide mechanisms for abstraction and clarity, fostering the reuse of shared functionality (e.g., via UML relationships for use cases), they are seldom employed in practice. A particular quality problem of textual requirements, such as use cases, is that of having duplicate pieces of functionality scattered across the specifications. Duplicate functionality can sometimes improve readability for end users, but hinders development-related tasks such as effort estimation, feature prioritization, and maintenance, among others. Unfortunately, inspecting textual requirements by hand in order to deal with redundant functionality can be an arduous, time-consuming, and error-prone activity for analysts. In this context, we introduce a novel approach called ReqAligner that aids analysts to spot signs of duplication in use cases in an automated fashion. To do so, ReqAligner combines several text processing techniques, such as a use case-aware classifier and a customized algorithm for sequence alignment. Essentially, the classifier converts the use cases into an abstract representation that consists of sequences of semantic actions, and then these sequences are compared pairwise in order to identify action matches, which become possible duplications. We have applied our technique to five real-world specifications, achieving promising results and identifying many sources of duplication in the use cases.","['Argentina', 'Argentina', 'Argentina', 'Argentina', 'Argentina', 'Argentina']","['National University of Buenos Aires Central Province', 'Consejo Nacional de Investigaciones Científicas y Técnicas', 'National University of Buenos Aires Central Province', 'Comision de Investigaciones Cientificas - La Plata', 'National University of Buenos Aires Central Province', 'Consejo Nacional de Investigaciones Científicas y Técnicas']"
Impact of modeling languages on the theory and practice in Planning research,2015,Jussi Rintanen,,Conference Paper,5,"National Conference on Artificial Intelligence, AAAI",,7,Scopus,Planning,Planning and Scheduling,,,Representation,Others,Not Available,Discussions,Vision,"[{'name': 'Jussi Rintanen', 'Affiliation(s)': ('Aalto University', 'Finland')}]","© Copyright 2015, Association for the Advancement of Artificial Intellegence. All rights reserved.We propose revisions to the research agenda in Automated Planning. The proposal is based on a review of the role of the Planning Domain Definition Language (PDDL) in the activities of the AI planning community and the impact of PDDL on parts of its research agenda. We specifically show how specific properties of PDDL have impacted research on planning, by putting emphasis on certain research topics and complicating others. We argue that the development of more advanced modeling languages would be - analogously to the impact PDDL has had - a low overhead and smooth route for the ICAPS community shift its research focus to increasingly promising and relevant research topics.",['Finland'],['Aalto University']
Improving Analysis Pattern Reuse in Conceptual Design: Augmenting Automated Processes with Supervised Learning,2003,"Sandeep Purao, Veda C. Storey, Taedong Han",,Article,22,Information Systems Research,https://doi.org/10.1287/isre.14.3.269.16559,57,Scopus,Learning,Machine learning,Machine Learning,Model Creation - Semi-Automated,,Entity Relationship,Closed,Algorithms,"Solution, Evaluation","[{'name': 'Sandeep Purao', 'Affiliation(s)': ('Pennsylvania State University', 'United States')}, {'name': 'Veda C. Storey', 'Affiliation(s)': ('J. Mack Robinson College of Business', 'United States')}, {'name': 'Taedong Han', 'Affiliation(s)': ('Nevada, Las Vegas, University of', 'United States')}]","Conceptual design is an important, but difficult, phase of systems development. Analysis patterns can greatly benefit this phase because they capture abstractions of situations that occur frequently in conceptual modeling. Naïve approaches to automate conceptual design with reuse of analysis patterns have had limited success because they do not emulate the learning that occurs over time. This research develops learning mechanisms for improving analysis pattern reuse in conceptual design. The learning mechanisms employ supervised learning techniques to support the generic reuse tasks of retrieval, adaptation, and integration, and emulate expert behaviors of analogy making and designing by assembly. They are added to a naïve approach and the augmented methodology implemented as an intelligent assistant to a designer for generating an initial conceptual design that a developer may refine. To assess the potential of the methodology to benefit practice, empirical testing is carried out on multiple domains and tasks of different sizes. The results suggest that the methodology has the potential to benefit practice.","['United States', 'United States', 'United States']","['Pennsylvania State University', 'J. Mack Robinson College of Business', 'Nevada, Las Vegas, University of']"
Improving MBSE tools UX with AI-Empowered software assistants,2019,Maxime Savary-Leblanc,,Conference Paper,5,"ACM/IEEE 22nd International Conference on Model Driven Engineering Languages and Systems Companion, MODELS-C",https://doi.org/10.1109/MODELS-C.2019.00099,4,Scopus,Integration and Interaction,Robotics and Automation,Robotics,Model Use - Processing,,UML & UML Diagram Type & UML Profile,Not Available,Discussions,Vision,"[{'name': 'Maxime Savary-Leblanc', 'Affiliation(s)': ('Lille, University of', 'France')}]","© 2019 IEEE.Model Based Software Engineering (MBSE) consists in applying Model-Based Engineering principles - mostly abstraction and automation - to software engineering practices. As concluded by several empirical studies during the past 10 years, applying MBSE methodology is no more a question and we shall now wonder how to do it rather than if we should. One of the major criticisms of MBSE remains about the available tooling to apply its methodology. Multiple surveys show that the usability of tools and the lack of skills from the user are two key barriers that still slow down the spread of the MBSE approach. In the meantime, these surveys also highlight the difficulties software engineers often encounter during the modeling activity itself, regardless of the tool. Indeed, complex operations such as problem-to-model mapping, consistency checking or error identification are still often manually performed by humans. The recent advances in AIs introduced new software-based systems able to interact with their users to help them in their daily life. The purpose of this PhD is to investigate how such AIs (which we will call software assistants) could help software engineers to face the complexity of software modeling. Interactions between software assistants and users of MBSE tools will be the bulk of this work. We plan to implement software assistants and provide them an access to a high-quality knowledge repository on models that we will build to study these interactions. Based on these studies, we hope to contribute laying the foundations of interactions with software assistants. The end result will feature a knowledge repository and a Software Assistant acting together to help users modeling by catering for new ideas, recommendations and help. This work will also provide frameworks to create knowledge repositories and IDE-embedded software assistants.",['France'],['University of Lille']
